Drake,33
Taylor Swift,31
The Weeknd,29
Fetty Wap,27
Nicki Minaj,22
Meghan Trainor,20
Ed Sheeran,20
Justin Bieber,18
One Direction,18
Maroon 5,17
Rae Sremmurd,16
Sam Smith,15
Luke Bryan,14
Fall Out Boy,14
Sam Hunt,13
J. Cole,12
Fifth Harmony,12
Mark Ronson,12
Blake Shelton,12
Selena Gomez,12
Flo Rida,11
Kendrick Lamar,11
Florida Georgia Line,11
Thomas Rhett,11
Nick Jonas,11
Sia,11
WALK THE MOON,11
Big Sean,11
Chris Young,10
Ellie Goulding,10
Jason Derulo,10
Tove Lo,10
Jason Aldean,10
Brett Eldredge,9
Silento,9
Trey Songz,9
Omarion,9
Wiz Khalifa,9
Meek Mill,9
Drake & Future,9
Skrillex & Diplo With Justin Bieber,9
Zac Brown Band,9
Keith Urban,9
Carrie Underwood,9
Cole Swindell,8
Eric Church,8
Major Lazer & DJ Snake,8
Future,8
X Ambassadors,8
Ariana Grande,7
Kid Ink,7
David Guetta,7
Zedd,7
Rachel Platten,7
Andy Grammer,7
OMI,7
Natalie La Rose,7
Beyonce,6
Demi Lovato,6
Rihanna,6
Pitbull & Ne-Yo,6
Nicky Jam & Enrique Iglesias,6
Shawn Mendes,6
Hozier,6
Wale,6
Rich Homie Quan,6
Calvin Harris,6
Jeremih,6
twenty one pilots,6
